atopidphase,begyr,endyr,defense,offense,neutral,nonagg,consul,uncond_comp,cond_comp,uncond_det,cond_det,pure_cond_det,discret_milsupport,discret_intervene,prob_det
1005,1815,1815,1,0,0,0,1,0,0,0,1,0,0,0,0
1010,1815,1815,1,0,0,0,1,0,1,1,0,0,0,0,0
1015,1815,1815,1,1,0,0,0,1,0,0,0,0,0,0,0
1020.1,1815,1820,1,0,0,1,1,0,0,0,1,0,0,0,0
1020.2,1820,1848,1,0,0,1,1,0,0,0,1,0,0,0,0
1020.3,1850,1866,1,0,0,1,1,0,0,0,1,0,0,0,0
1025,1815,1820,1,0,0,0,1,0,0,0,1,0,0,0,0
1030,1815,1848,1,0,0,0,1,0,0,0,1,0,0,0,0
1035,1815,1822,1,1,0,0,1,0,0,0,1,0,0,0,0
1040,1816,1820,1,1,0,0,0,0,1,0,0,1,0,0,0
1045,1827,1829,0,0,0,0,1,0,0,0,0,0,0,0,0
1050,1831,1848,1,0,0,0,0,0,0,0,1,0,0,0,0
1053,1832,1846,1,0,0,0,0,0,0,0,1,0,0,0,0
1055,1832,1833,0,1,0,0,0,0,1,0,0,0,0,0,0
1060,1832,1833,1,0,0,0,0,0,1,0,0,0,0,1,1
1065,1833,1839,0,1,0,0,1,0,1,0,1,0,0,0,0
1070,1833,1848,0,1,0,0,0,0,0,1,0,0,0,0,0
1075,1833,1841,1,0,0,0,1,0,0,0,0,0,1,0,1
1080,1833,1853,0,0,0,0,1,0,0,0,0,0,0,0,0
1085,1833,1854,1,1,0,0,1,0,0,0,1,0,0,0,0
1090,1833,1848,1,1,0,0,1,0,0,0,0,0,0,1,1
1095,1833,1848,1,0,0,0,0,0,0,0,0,0,0,1,1
1100.1,1834,1834,1,0,0,0,1,0,1,0,0,0,0,0,0
1100.2,1834,1839,1,0,0,0,1,0,1,0,0,0,0,0,0
1110,1840,1840,1,1,0,0,0,0,1,0,1,0,0,0,0
1115,1844,1846,0,0,0,0,1,0,0,0,0,0,0,0,0
1118,1846,1856,1,0,0,0,0,0,0,0,1,0,0,0,0
1120,1847,1847,1,0,0,0,0,0,1,0,0,0,0,0,0
1125,1847,1859,1,0,0,0,0,0,0,0,1,0,0,0,0
1130,1848,1859,1,0,0,0,0,0,0,0,1,0,0,0,0
1135,1849,1849,1,0,0,0,1,0,0,1,0,0,0,0,0
1140,1850,1850,1,1,0,0,0,1,0,0,0,0,0,0,0
