atopid,year,onlyconsul,defcon,prob_det,dem_prop,dem_dich,wartime,offense,mem_num,mean_threat,max_threat,min_s_2cat,mean_s_2cat,defense,neutral,nonagg,consul,conditio,offcon,neucon,concon,h1_cat3,h2_cat3,h2_cat4,offense_tpm,consul_tpm,dem_prop_rawpolity,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10,mem11,mem12,mem13,mem14,mem15,mem16,mem17,mem18,mem19,mem20,mem21,mem22,mem23,mem24,mem25,mem26,mem27,mem28,mem29,mem30,mem31,mem32,mem33,mem34,mem35,mem36,mem37,mem38,mem39,mem40,mem41,mem42,mem43
1005,1815,0,0,0,0,0,0,0,6,0,0,.91836733,.91836733,1,0,0,1,0,0,0,0,1,1,2,0,1,0,200,210,220,240,245,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,1815,0,0,0,0,0,0,0,2,0,0,.79591835,.79591835,1,0,0,1,0,0,0,0,1,1,2,0,1,0,275,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,1815,0,1,0,0,0,0,1,2,0,0,.87755102,.87755102,1,0,0,0,1,1,0,0,1,2,3,1,0,0,300,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1815,0,0,0,0,0,0,0,10,0,0,.83673471,.89750564,1,0,1,1,1,0,0,0,1,1,2,0,1,0,240,245,255,267,269,271,273,275,280,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,1815,0,0,0,0,0,0,0,2,.124308,.19639599,.63265306,.63265306,1,0,0,1,1,0,0,1,1,1,2,0,1,0,300,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,1815,0,0,0,0,0,0,0,2,.124308,.19639599,.51020408,.51020408,1,0,0,1,1,0,0,1,1,1,2,0,1,0,300,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,1815,0,1,0,0,0,0,1,4,.088398993,.19639599,.46938777,.64625847,1,0,0,1,1,1,0,1,1,2,3,1,1,0,200,255,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,1816,0,1,0,0,0,0,1,2,.138272,.138272,.91836733,.91836733,1,0,0,0,1,1,0,0,1,2,3,1,0,0,210,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1827,1,0,0,0,0,0,0,3,.13962066,.146542,.92982459,.92982459,0,0,0,1,1,0,0,1,2,0,1,0,1,0,200,220,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1831,0,1,0,0,0,0,0,2,.35393399,.660703,.60655737,.60655737,1,0,0,0,1,0,0,0,1,2,3,0,0,0,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1832,0,0,0,0,0,0,1,2,.1366355,.14108799,.93442625,.93442625,0,0,0,0,1,1,0,0,1,0,1,1,0,0,200,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,1832,0,1,1,0,0,0,0,2,.1366355,.14108799,.90163934,.90163934,1,0,0,0,1,0,0,0,1,2,3,0,0,0,211,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1833,0,0,0,0,0,0,1,3,.33274034,.50466204,.57377046,.71584702,0,0,0,1,1,1,0,1,1,0,1,1,1,0,255,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,1833,0,0,0,0,0,0,1,2,.090682,.132075,.90163934,.90163934,0,0,0,0,1,1,0,0,1,0,1,1,0,0,325,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1833,0,0,1,0,0,0,0,2,.066037498,.132075,.86885244,.86885244,1,0,0,1,0,0,0,0,1,1,2,0,1,0,365,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1833,1,0,0,0,0,0,0,2,.25233102,.50466204,.6557377,.6557377,0,0,0,1,1,0,0,1,2,0,1,0,1,0,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1833,0,1,0,0,0,0,1,2,.25233102,.50466204,.6557377,.6557377,1,0,0,1,1,1,0,1,1,2,3,1,1,0,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,1833,0,1,1,0,0,0,1,2,.2467795,.493559,.72131145,.72131145,1,0,0,1,1,1,0,1,1,2,3,1,1,0,255,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,1833,0,0,1,0,0,0,0,3,.33274034,.50466204,.6557377,.77049178,1,0,0,0,1,0,0,0,1,1,2,0,0,0,255,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,1834,0,1,0,0,0,0,0,4,.13862549,.145422,.93442625,.93442625,1,0,0,1,1,0,0,1,1,2,3,0,1,0,200,220,230,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,1840,0,1,0,0,0,0,1,5,.0699258,.19022399,.5625,.74687499,1,0,0,0,1,1,0,0,1,2,3,1,0,0,200,255,300,365,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,1844,1,0,0,0,0,0,0,2,.065199003,.13039801,.87692308,.87692308,0,0,0,1,1,0,0,1,2,0,1,0,1,0,200,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,1846,0,1,0,0,0,0,0,2,.120779,.120779,.92307693,.92307693,1,0,0,0,1,0,0,0,1,2,3,0,0,0,200,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,1847,0,1,0,0,0,0,0,4,.1239845,.129464,.93939394,.93939394,1,0,0,0,1,0,0,0,1,2,3,0,0,0,200,220,230,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,1847,0,1,0,0,0,0,0,2,.27581701,.50092202,.57575756,.57575756,1,0,0,0,1,0,0,0,1,2,3,0,0,0,300,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
