ccode,year,defense_form,atopally_form,majpow1,cap_1,atopally,defense,offense,neutral,nonagg,consul,asymm,defense_dem,defense_nodem,USdefense,USSRdefense,atopally_dem,atopally_nodem,USatopally,USSRatopally,offense_dem,offense_nodem,USoffense,USSRoffense,neutral_dem,neutral_nodem,USneutral,USSRneutral,nonagg_dem,nonagg_nodem,USnonagg,USSRnonagg,consul_dem,consul_nodem,USconsul,USSRconsul,defense_MP,defense_demMP,defense_nodemMP,defense_MinP,defense_demMinP,defense_nodemMinP,dem_defense_form,nodem_defense_form,dem_atopally_form,nodem_atopally_form,pure_consul,pure_consul_dem,pure_consul_nodem,nato,bilateral,defense_dembi,defense_nodembi,multilateral,defense_demmulti,defense_nodemmulti,rivalry,defense_capsum,defense_capsum_dem,defense_capsum_nodem,defense_milsum,defense_milsum_dem,defense_milsum_nodem,atopally_capsum,atopally_milsum,rivalcap,rivalmil,defense_MILEX_dem,defense_MILEX_nodem,defense_MILEXnoUS_dem,defense_MILEXnoNATO_dem,defense_dem_cnt,defense_nodem_cnt,gwno,atwar,civilwar,lnrivalmil,LMILEX,PN6,LNRGDP,LMILEX1,LNFOES,LNFRIENDS,DEMOC,CWPRBCOW,coldwar,def_form,milcoor,dem_neighbor,nondem_neighbor,polity_neighbor_weight,polity_neighbor,lnrivalcap,arableauge,warsaw,_defense2,dem_NONNATO,nondem_NONNATO,predemalliance,prenondemalliance,lnUSmil,lnUSSRmil,natomil,NATOmil,lnNATOmil,LNdefense_capsum_nodem,LNdefense_capsum_dem,LNdefense_MILEX_dem,LNdefense_MILEX_nodem,LNdefense_MILEXnoUS_dem,LNdefense_MILEXnoNATO_dem,defense_dem1,defense_nodem1,defense_capsum1,MILGDP,LMILGDP,threatenv
2,1949,1,1,1,.273166,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,2,.2071660024339508,.1616780027543427,.045487999679608,0,0,0,.2071660024339508,0,.2719679996371269,0,0,0,0,0,10,21,2,0,0,0,,,,,,,,,1,1,2,1,2,-.5703787740672753,2.3333333,.2405653,0,0,1,1,1,1,1,,0,,,,.044483762,.14986551,0,0,0,0,,,,,,.1679179966449738
2,1950,,,1,.28444299,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,.1932180017274732,.1465380018998985,.0466799998275746,44357024.48046875,36765313.79882813,7591710.681640625,.1932180017274732,44357024.48046875,.2990930080413818,0,0,0,0,0,10,21,2,1,0,0,,,,,,,,,1,1,2,1,2,-.4524831049512741,2.3333333,.26166633,0,0,1,1,1,1,1,,0,,,,.04562325,.13674697,0,0,0,0,1,1,.207166,,,.2990930080413818
2,1951,1,1,1,.31949899,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,2,.2143119999991541,.1616600003908388,.0526519996083152,63548674.26464844,54724697.52050781,8823976.744140625,.2143119999991541,63548674.26464844,.2767869979143143,123924.240234375,63798.77001571655,13785.80408287048,63798.77001571655,3271.601940155029,13,23,2,1,0,11.727434,11.98286,.9276851,14.44504,,12.13804,9.991878,10,.0014229,1,1,2,1,2,-.566559728078726,2.3333333,.24434677,0,0,1,1,1,0,1,,0,159988.94,222851.61,12.314266,.051312692,.14985001,11.063505,9.5314674,11.063505,8.0933409,1,1,.19321801,.085248902,-2.4621801,.2767869979143143
2,1952,,,1,.31136701,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,.2102699997958553,.1605730004739598,.0496969993218954,84377245.29296875,73449737.99023438,10927507.30273438,.2398110005196941,86186840.54296875,.2665970101952553,126475.609375,81408.4245223999,16556.95680475235,81408.4245223999,4556.209671020508,14,22,2,1,0,11.747812,12.2693,.9355831,14.47231,11.98286,12.22621,10.2535,10,.0013072,1,1,2,1,2,-.5303079707434835,1.3333334,.23633379,0,0,1,1,1,0,1,,0,213053.8,292248.78,12.585364,.048501551,.14891385,11.307246,9.7146225,11.307246,8.4244661,1,1,.214312,.11047015,-2.2030101,.2665970101952553
2,1953,1,1,1,.311158,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,2,.213396998540702,.1549789980927017,.0584180004480004,92551133.49902344,78595934.26464844,13955199.234375,.2436249986749317,95253296.74902344,.2682210057973862,139503.595703125,86323.33950805664,20659.37313628197,86323.33950805664,4692.676055908203,14,23,2,0,0,11.845853,12.29107,.9156469,14.51282,12.2693,12.34002,10.3539,10,.001372,1,1,3,1,2,-.7064735189672605,.33333334,.23761514,0,0,1,1,1,0,1,,0,217742.84,301847.69,12.617682,.056775343,.14408216,11.365867,9.9359732,11.365867,8.4539709,1,1,.21027,.10841921,-2.22175,.2682210057973862
2,1954,1,1,1,.28094,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,2,.2363229982465782,.1512669987569097,.0850559994896685,87705133.58496094,74106180.65722656,13598952.92773438,.267374999067215,90337911.08496094,.2788849920034409,149056.451171875,81439.38570785523,21078.476167202,81439.38570785523,4041.037929534912,13,27,2,0,0,11.912087,12.15723,.9152986,14.50399,12.29107,12.38773,10.11833,10,.0012337,1,1,3,1,2,-1.195555817495852,-.66666669,.24598859,0,0,1,1,1,0,0,,0,190466.19,272661.03,12.515988,.081631601,.14086308,11.307627,9.9560547,11.307627,8.3045044,1,1,.213397,.095678657,-2.34676,.2788849920034409
2,1955,,,1,.266422,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,.2615020004914186,.1777950019168202,.0837069985745984,94798035.95410156,80547286.22558594,14250749.72851563,.2914890004203699,97073116.70410156,.2705100029706955,154440.158203125,78343.81838226318,22568.11237859726,78343.81838226318,4127.672904968262,14,27,2,0,0,11.947569,12.105,.8737388,14.58758,12.15723,12.34399,10.64836,10,.0013915,1,1,3,1,2,-.9142163806871761,-1.6666666,.2394184,0,0,1,1,1,0,0,,0,180773.47,260239.34,12.469361,.08038757,.16364405,11.268875,10.024338,11.268875,8.3257113,1,1,.236323,.083527446,-2.4825799,.2705100029706955
2,1956,,,1,.26061401,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,.2640740017041026,.1792970016467734,.0847770000573291,97435945.60009766,83327635.58886719,14108310.01123047,.2955560016080199,99611789.85009766,.2683349922299385,154649.4765625,93060.80755233765,22311.89311289787,93060.80755233765,4150.751232147217,14,27,2,0,0,11.948923,12.10451,.8541760000000001,14.60646,12.105,12.21526,11.26691,10,.0010168,1,1,3,1,2,-.5988736759791695,-1.6666666,.23770501,0,0,1,1,1,0,0,,0,180684.92,275306.97,12.525645,.081374437,.1649185,11.441019,10.01292,11.441019,8.3312855,1,1,.261502,.081925087,-2.50195,.2683349922299385
2,1957,,,1,.25504899,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,.2655699942652063,.1798329951343476,.0857369991308587,98717395.12011719,83717741.51171875,14999653.60839844,.2984319944325762,101112558.6201172,.2667969912290573,156004.65234375,93717.99334335327,23112.70089411736,93717.99334335327,5295.911891937256,15,26,2,0,0,11.957647,12.12577,.8374228,14.61809,12.10451,12.22233,11.29931,10,.0010829,1,1,3,1,2,-.3876428484699022,-1.6666666,.23649167,0,0,1,1,1,0,0,,0,184567.41,278675.31,12.537807,.082259022,.16537289,11.448056,10.048181,11.448056,8.5748796,1,1,.264074,.082717836,-2.4923201,.2667969912290573
2,1958,,,1,.23446999,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,2,.2658889990225362,.1432309992160299,.1226579998065063,91856835.13085938,58126130.45898438,33730704.671875,.2991590004339741,94176527.38085938,.2793710082769394,160197.169921875,66722.89012527466,42146.54461860657,66722.89012527466,4665.618923187256,14,27,2,0,1,11.984167,12.11815,.8182338,14.60616,12.12577,12.30668,11.20929,10,.0011206,1,1,3,1,2,-.5618164443013463,-1.6666666,.24636856,0,0,1,1,1,0,0,,0,183166.34,270891.63,12.509478,.11569909,.13385846,11.108318,10.648932,11.108318,8.4481897,1,1,.26556998,.083075121,-2.4880099,.2793710082769394
