ccode,year,lsthreat
2,1816,.63919497
2,1817,.63151896
2,1818,.62731898
2,1819,.61502004
2,1820,.62298501
2,1821,.63975
2,1822,.63262999
2,1823,.45993701
2,1824,.46846098
2,1825,.46811801
2,1826,.47016701
2,1827,.76309103
2,1828,.75911599
2,1829,.75769299
2,1830,.43045899
2,1831,.43081897
2,1832,.57448101
2,1833,.73142201
2,1834,.73245102
2,1835,.72656101
2,1836,.73037601
2,1837,.71651298
2,1838,.717049
2,1839,.71162802
2,1840,.57277995
2,1841,.57389098
2,1842,.57515198
2,1843,.135627
2,1844,.57627797
2,1845,.58273202
2,1846,.55238098
2,1847,.56612802
2,1848,.12457
2,1849,.13805899
2,1850,.13274899
2,1851,.14173299
2,1852,.13851599
2,1853,.139985
2,1854,.59008896
2,1855,.56209099
2,1856,.55136001
2,1857,.42185599
2,1858,.42850602
2,1859,.565247
2,1860,.37756002
2,1861,.45881799
2,1862,.45203298
2,1863,.34683299
2,1864,.43718499
2,1865,.47572699
2,1866,.480699
2,1867,.44012299
2,1868,.44869298
2,1869,.443353
2,1870,.47507799
2,1871,.24156301
2,1872,.387128
2,1873,.58183402
2,1874,.58341599
2,1875,.59103203
2,1876,.58122098
2,1877,.605878
2,1878,.22825301
2,1879,.22366101
2,1880,.21847101
2,1881,.043540001
2,1882,.15230399
2,1883,.15746
2,1884,.15961
2,1885,.16100299
2,1886,.15970001
2,1887,.40480101
2,1888,.402693
2,1889,.39193702
2,1890,.38900098
2,1891,.38426
2,1892,.38112
2,1893,.387355
2,1894,.38936001
2,1895,.37898299
2,1896,.38232699
2,1897,.37546301
2,1898,.205569
2,1899,.20445
2,1900,.206397
2,1901,.201805
2,1902,.36687502
2,1903,.35278398
2,1904,.41326398
2,1905,.18656
2,1906,.39811599
2,1907,.403853
2,1908,.55752802
2,1909,.40327501
2,1910,.40299201
2,1911,.22303399
2,1912,.22837201
2,1913,.52486199
2,1914,.58129299
2,1915,.60376602
2,1916,.62195998
2,1917,.54748303
2,1918,.14279801
2,1919,0
2,1920,0
2,1921,.031454001
2,1922,.032737002
2,1923,.035884999
2,1924,.075285003
2,1925,.17938401
2,1926,.192983
2,1927,.198828
2,1928,.19035999
2,1929,.20299099
2,1930,.21808898
2,1931,.220001
